ID,Tweet,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
2018-Es-04549,Mi enojo dura 5 minutos y después ya te extraño.,1,0,0,0,0,1,0,0,1,0,0
2018-Es-03162,"No se para que puse  de contraseña la huella digital, si sigo usando el patrón 😅",0,0,0,0,1,0,0,0,0,0,0
2018-Es-03204,"No se, que hago todavía despierta 😟",0,0,0,0,0,0,0,0,1,1,0
2018-Es-03876,"@SonyMusicLatin @PrinceRoyce @FarrukoOfficial Yeeah, Congrats baby! 😱🎉🎉🙌🙌 La espera del video valió la pena! Hiciste un excelente trabajo! 😍",0,0,0,0,1,0,0,0,0,0,0
2018-Es-05289,@KarlaSc24 Mañana voy a visitarte mejor 🙆 así de -casi- sorpresa ☺💕,0,0,0,0,1,1,0,0,0,1,0
2018-Es-05423,@Miguel_layun Hay que cosas le sale lo gruñon a @JorgeGonzalezGo animo optimista te sigo apoyando,0,0,0,0,1,0,1,0,0,0,0
2018-Es-04378,Bola de pendejos sin madre los que están asaltando coches en medio del tráfico #Rabia,1,0,1,0,0,0,0,0,0,0,0
2018-Es-00845,"Desesperado por encontrarte, busco un camino para olvidarte, es que esa noche que vos te fuiste me desbordaron las cicatrices 🎤💔",0,0,0,0,0,0,0,0,1,0,0
2018-Es-03101,@omarfdosk8 @CaracolTV @DesafioCaracol Andrea fea mala aburrida gafa odiosa estupida sisañera chismosa etc etc etc,1,0,1,0,0,0,0,0,0,0,0
2018-Es-04787,No llevo ni 1h despierto y ya he tenido que pegarme una carrera para intentar pillar el tren... y perderlo. 😥,1,0,0,0,0,0,0,1,1,0,0
2018-Es-05042,"Usar ""LOL"" y ""equisdé"" en público y otras maneras de provocar.",1,0,0,0,0,0,0,0,0,0,0
2018-Es-06180,Que alguien me diga alguna película de terror bueena (y que este en netflix),0,0,0,0,0,0,0,0,0,0,0
2018-Es-06853,Mi sobrina sigue en cama. No ha comido en varias horas. Parece que la energía del cuerpo se le ha ido. La luz le molesta un poco. #tristeza,0,0,0,1,0,0,0,0,1,0,0
2018-Es-04358,Cuando viva sola voy a pesar 300 kg,0,0,0,0,0,0,0,1,0,0,0
2018-Es-02140,Ni sueño ,0,0,0,0,0,0,0,0,0,0,0
2018-Es-03831,@quimicefa *Apunta furiosamente*,1,0,0,0,0,0,0,0,0,0,0
2018-Es-01530,@letyduranhdez Mira tu niña aburrida cuando tiene una super nieta y nieto...no es para aburrirse😂😂,0,0,0,0,1,0,0,0,0,0,0
2018-Es-05233,"It: Me gustó, pero en mi opinión le faltó algo, nose. Ojalá la hubieran pasado en 3D. En la espera del capítulo dos ",0,1,0,0,1,0,0,0,0,0,0
2018-Es-03273,@feernandatj FERNANDA YA TE DIJE QUE NO,1,0,0,0,0,0,0,0,0,0,0
2018-Es-06484,@AlvaritoMorales siempre queriendote hacer el gracioso eres malísimo.,0,0,1,0,0,0,0,0,0,0,0
2018-Es-04500,"Arreglo la moto y la vendo a la mierda, podrido de renegar ",1,0,1,0,0,0,0,1,0,0,0
2018-Es-03263,Solicito seriamente que haya un festivo todas las semanas💋,0,0,0,0,0,0,1,0,0,0,0
2018-Es-03572,@lesxlex Pero no eres amargada verdad?,1,0,0,0,0,0,0,0,0,0,0
2018-Es-02125,Amo el personaje de nos vemos en disney de dario orsi jajajaja ,0,0,0,0,1,1,0,0,0,0,0
2018-Es-00976,no es justo desde hace mil años llorando cada vez que las veo,0,0,0,0,0,0,0,0,1,0,0
2018-Es-00371,"@SoyPabloMiguel Expedito, porque es de las causas urgentes. Ideal para gente ansiosa, como sho.",0,0,0,1,0,0,0,0,0,0,0
2018-Es-01812,El PERÚ está cansado de tanta Podredumbre Porquería y Kagadas del PresidenteDeLUJO!  No acierta una! Se dispara a los pies! NO AMA AL PERÚ!,1,0,1,0,0,0,0,0,0,0,0
2018-Es-06893,Ahora me voy a ir a dormir enojado.,1,0,0,0,0,0,0,0,0,0,0
2018-Es-02861,"Al cura le da miedo ponerlo yo creo, ya esta muy grande la maria elsa pa un cura #PerdonaNuestrosPecados",1,0,0,1,0,0,0,0,0,0,0
2018-Es-02207,"@OscarAlessandr0 @GolDNakama Estoy al día con el manga y te dire una cosa, esa chica no es el waifu ideal para Tatara ",0,0,0,0,0,0,0,0,0,0,0
2018-Es-01551,"Como me van a decir gobernada, estoy indignada.",1,0,1,0,0,0,0,0,0,0,0
2018-Es-00366,"Estoy segura de que en mi examen de hoy saqué 10 y estoy muy contenta, ya quiero hacer otro examen.🙈",0,1,0,0,1,0,1,0,0,0,1
2018-Es-00159,Que matón vale jaja.,0,0,0,0,1,0,0,0,0,0,0
2018-Es-04328,"Necesito personas que digan a todo ""si"" y no que salgan con ""peros"" ",1,1,0,0,0,0,0,0,0,0,1
2018-Es-05531,En dos findes o tres voy a estar en corboda 😀,0,0,0,0,1,0,0,0,0,0,0
2018-Es-02259,"@medicendaysi El martes no hay examen, así que que sea lo que Dios quiera ",0,1,0,0,0,0,1,0,0,0,1
2018-Es-00190,Mañana en Ayunas 😭😭  Chingue su madre 😄,1,0,0,0,0,0,0,0,1,0,0
2018-Es-05196,@solm_ferzm Nota mental: no volverme a quedar a dormir en tu casa. ,0,0,0,0,0,0,0,0,0,0,0
2018-Es-06134,@luciashan_poo Tómese una pastilla 😃,0,0,0,0,1,0,0,0,0,0,0
2018-Es-04181,Amo tanto a mi hermanito a pesar de todo 👫😍💗💗,0,0,0,0,0,1,0,0,0,0,0
2018-Es-04929,Que bonito cuando acaricio ahí 😂,0,0,0,0,1,0,0,0,0,0,0
2018-Es-01794,Me puse a escuchar spring day mientras comía papas fritas y terminé llorando me supero cada día,0,0,0,0,0,0,0,0,1,1,0
2018-Es-04791,"Por cada minuto de enfado perdemos sesenta sejun,os de felicidad.",1,0,0,0,0,0,1,0,0,0,0
2018-Es-04635,"HOLAA, TE VI CAMINANDO EN LO OSCURO SOLA, EN ESTE JUEGO TU TIENES LA BOLA, QUIERO COMERTE COMPLETITA TODAA, QUIERO COMERTE COMPLETITA SOLAAA",0,1,0,0,0,1,0,0,0,0,0
2018-Es-06368,@Corakoraa @TribunalCJ ira a la basura.una pena perder tiempo en ir a la  justicia burguesa,1,0,0,0,0,0,0,1,0,0,0
2018-Es-05529,Alarma lista para mañana temprano pues,0,0,0,0,0,0,0,0,0,0,0
2018-Es-05982,"Yo me muerdo la lengua por no insultar, y a me lo devuelven así. Veo donde radica el mínimo respeto y educación 😐",1,0,1,0,0,0,0,0,0,0,0
2018-Es-06602,Pelea con mi mama #triste,0,0,0,0,0,0,0,0,1,0,0
2018-Es-02714,El único Espada que me resulta ligeramente agradable es Zommari. Me respeta como superior y no perturba mi existencia.,0,0,0,0,0,0,0,0,0,0,1
2018-Es-06945,@juancatab En serio!??,0,1,0,0,0,0,0,0,0,1,0
2018-Es-03958,estoy: enfadada y yo nunca me enfado,1,0,0,0,0,0,0,1,0,0,0
2018-Es-01897,Mi corazón es grande pero mas grande es mi enfado,1,0,0,0,0,0,0,0,0,0,0
2018-Es-02275,@DebRyanShow no sé si me debería de dar pena o alegría de que ha sido de puro #Rayito,0,0,0,0,1,0,0,1,0,0,0
2018-Es-00732,"@AzulRosito Ya lose,pero es tan lindo,y encima negrito,voy a llorar 😢",0,0,0,0,1,1,0,0,0,0,0
2018-Es-06480,el amargo sabor a traición,1,0,1,0,0,0,0,1,1,0,0
2018-Es-02818,"|| Acabo de leer el twett de user de Brooke y mi mama al mismo tiempo dijo ""anda mal el internet"" #miedo. Ahre les contaba su vida.",0,0,0,1,0,0,0,0,0,0,0
2018-Es-06941,"Mi bien ponderada @piCkOL, ¡feliz cumpleaños! Me tomo tres cervezas a tu salud. Abrazo grande pa' ti.",0,0,0,0,1,1,0,0,0,0,0
2018-Es-00380,"@germxnthief < espalda del rubio, la cuál probablemente estaría marcada, pero ni con eso logró sofocarlo pues un gruñido salió de sus >",0,0,0,0,0,0,0,0,0,0,0
2018-Es-01160,El Rey diciendo a l@s catalanes lo qué deben ser x coj... Madre qué país. Ah que ha dicho algo de l@s catalanes herid@s x la poli... #ironía,1,0,1,0,0,0,0,0,1,0,0
2018-Es-01062,@haashoficial  por que ami  Me tiene que pasar esto 💔 Quiero gritar que ya basta 😿 Quiero abrazarlas pero nunca podré Dios mío 😷😭  #triste,0,0,0,0,0,0,0,0,1,0,0
2018-Es-04122,Jajajaja de lejos veía a Fran re desesperado por ver a los chicos 😝,0,0,0,0,1,0,0,0,0,0,0
2018-Es-01246,Encima se enojo vieron es más tonto,1,0,0,0,0,0,0,0,0,0,0
2018-Es-05110,@francellabrenes Literal no he ni visto el temario ni nada ,0,0,0,0,0,0,0,1,0,0,0
2018-Es-03973,El optimismo es el hilo conductor hacia el éxito. Bruce Lee,0,0,0,0,0,0,1,0,0,0,0
2018-Es-02104,@darlyssolanof @VictorBolivarM @AnaMarcelaPint0 Yo no hice bloqueo ,0,0,0,0,0,0,0,0,0,0,0
2018-Es-01034,No sé cómo mi hermana se dejó que le decolorara el cabello sin saber nada ,0,0,0,0,0,0,0,0,0,1,0
2018-Es-04717,"Mariscales 10 Tiburones 1. Gano Yesid Salazar. Perdió Ramón Ulacio. Destacado Edgar Muñoz de 4-3, 1 anotada y 2 impulsadas.",0,0,0,0,0,0,0,0,0,0,0
2018-Es-02598,Que ningún gil apague tu sonrisa,0,0,0,0,0,0,1,0,0,0,0
2018-Es-05622,"@KloudZNiper Cosas que pasan. Estoy cansado de muchas historias a raiz del pelo. Pero mira el lado positivo, por fin te sigo.",1,0,0,0,0,0,1,0,0,0,0
2018-Es-00704,"@Jonathan_Hdez3 si llegas a mi casa con unas así no me enojo, hasta te dejo entrar",1,1,0,0,1,0,0,0,0,0,0
2018-Es-01105,@AfroParadise #ironía Uriel.  Pero los medios parecen ver más correcto lo que yo digo que lo que tu dices,0,0,0,0,0,0,0,0,0,0,0
2018-Es-03804,"Estaba viendo una peli de terror y así de la nada, a mitad de la peli  comienzan a coger dos minas ahre de que me perdí dije",0,0,0,1,0,0,0,0,0,1,0
2018-Es-05819,"Sospecho de María Dolores de Cospedal con una oreo envenenada, en el comedor",1,1,1,0,0,0,0,0,0,0,0
2018-Es-03995,@CatalinaSpring Jajajajajaja que rabia,0,0,0,0,1,0,0,0,0,0,0
2018-Es-04319,Noches de llanto 😕,0,0,0,0,0,0,0,0,1,0,0
2018-Es-05156,"@hum0r @EPN ajajajjaa. Perdón, my Lord. Estoy a 1 minuto de que deje de darme risa, no a menos, como a 5 😂",1,0,0,0,1,0,0,0,0,0,0
2018-Es-03322,Terrible tarta de ricotaa,0,0,1,0,1,0,0,1,0,0,0
2018-Es-05176,"PORQUE SEEE QUE SIEEEMPRE,  QUE SIEMPRE ES AMARGO EL ADIOOOOS 🎤",0,0,0,0,0,0,0,0,1,0,0
2018-Es-04166,Llevo 24 horas sintiéndome mal. ,0,0,0,0,0,0,0,1,1,0,0
2018-Es-00819,No creo que puedan comprender mi enojo eterno porque a Cinépolis se le ocurrió proyectar Mulan cuando estoy fuera del país 😡😡,1,0,0,0,0,0,0,0,0,0,0
2018-Es-02967,Por tanto aguante. Gracias 💛 ¡feliz día!,0,0,0,0,1,1,0,0,0,0,0
2018-Es-06429,Tengo es como ira de como me tienen la moto en él parqueadero,1,0,0,0,0,0,0,0,0,0,0
2018-Es-00302,@europapress Es lo menos que se puede pedir y esperar ante tal afrenta golpista.,1,0,1,0,0,0,0,1,0,0,0
2018-Es-04272,"Una noche ahogada en llanto, me juré a mi misma que no volvería a dejar que me tratarán como si no valiera nada.",1,0,0,0,0,0,0,0,1,0,0
2018-Es-05658,@Jhosy2121 Cuándo me he enojado contigo oe JAJAJAJA la hago un finde!,1,0,0,0,1,0,0,0,0,0,0
2018-Es-03489,"@babynlf « recibir su respuesta, su ceño se frunció.—  “¿Que sientes el qué? ¿Dónde estás?”",0,1,0,0,0,0,0,0,0,0,0
2018-Es-01572,"@nunurob Tía, he apuntado el número HOY para asistir de público. ",0,1,0,0,0,0,0,0,0,0,0
2018-Es-05856,aquela nostalgia gostosa escutando audioslave,0,0,0,0,0,0,0,0,1,0,0
2018-Es-01398,"De la flor de Zidane, a la flor de Valverde. Las vueltas del fútbol. #Ironía",0,0,0,0,0,0,0,1,0,0,0
2018-Es-02551,"Uy, sí. Como me encanta ésta situación y como hay mil trucos #ironía. No hay arreglo, se reconstruye solo.",1,0,0,0,1,0,0,1,0,0,0
2018-Es-06731,Si quieres verla sonreír háblale de mi y ella te dirá cómo fue que se le olvido todo aquello que eras tú cuando me conoció a mi,0,0,0,0,0,1,0,0,0,0,0
2018-Es-05197,Mi relacion con yerko es un cague de risa,0,0,0,0,1,0,0,0,0,0,0
2018-Es-04522,Que rabia cuando se me quita el sueño,1,0,0,0,0,0,0,0,0,0,0
2018-Es-05970,@mnjhqvd @halasyriagmail1 @mqgs1 Deseas relajarte. Bien.!!! Practica Yoga. Te ira Súper.!!!,0,0,0,0,1,0,1,0,0,0,0
2018-Es-03314,"La parte en la que Clegane le dice ""No engañas a nadie con ese rodete. Calvo de mierda"" 😂😂😂😂 yo estaba llorando",0,0,0,0,1,0,0,0,1,0,0
2018-Es-01331,A disfrutar este fin de semana porque el lunes se me acaba la dicha.😶,0,0,0,0,1,0,0,0,1,0,0
2018-Es-05825,por eso necesito estar re polle y perderme así las dejo de joder ,1,0,0,0,0,0,0,0,0,0,0
2018-Es-06474,"Espero qe todo este esfuerzo sirva de algo , estoy muy cansado",0,1,0,0,0,0,1,0,1,0,0
2018-Es-00313,"Felíz día a todos mis amigos, a los nuevos que me cayeron genial, a los que conozco hace mucho, y a los que alguna vez fueron mis amigos☺",0,0,0,0,1,0,0,0,0,0,0
2018-Es-05994,"Qué feo irse a dormir con bronca o tristeza no se que es, pero creo que es sensibilidad 😩",1,0,0,0,0,0,0,0,1,0,0
2018-Es-00120,Mañana viaje de negocios  *tengo que ir a poner una alarma a un pueblito que ni sabía que existía*,0,1,0,0,0,0,0,0,0,0,0
2018-Es-06685,Ahora se viene la mejor parte de Encantada lpm✨✨✨✨,0,0,0,0,1,0,0,0,0,0,0
2018-Es-05961,@florenciagerez_ Jajajajajaj tomatela cara rota esa sos vos ,0,0,0,0,1,0,0,0,0,0,0
2018-Es-06907,@cova_21 Joer pones cara de Kondogbia en su presentación... #susto,0,0,0,1,0,0,0,0,0,1,0
2018-Es-03386,@SUR_cultura @cacmalaga @ajavierlopez Pero vamos que es un poco la tesis del cura Perez Pallares de no ofender a nadie.,0,0,0,0,0,0,0,0,0,0,1
2018-Es-02926,@sivalenciac @bolivarmvb sólo haz ido sábado y no los otros días 😂 ve los otros días y después dices cuál es mejor,0,1,0,0,1,0,0,0,0,0,0
2018-Es-01955,"la valija podia pesar hasta 23 y pesó 22 con algo, eso es vivir al limite bebé",0,0,0,0,1,0,0,0,0,0,0
2018-Es-06008,"Quiero que mi hermana mire el internado y no quiere, es una soreta.. 😭",1,0,0,0,0,0,0,0,1,0,0
2018-Es-05166,"que les agarro asco, en ésta última, la minita rubia, de ojos claros, resentida porque se la cogió y se fue a buscar un tesoro +",1,0,1,0,0,0,0,0,0,0,0
2018-Es-04434,Tengo frío ,0,0,0,0,0,0,0,0,0,0,0
2018-Es-03097,"@lesxlex Okay tu ganas, no eres amargada, claramente en esa foto se ve que eres suuuuuper buena onda.",0,0,0,0,1,0,0,0,0,1,0
2018-Es-03325,"@vaymosxpartes Insultos, denunciar la corrupción es insultar?",1,0,1,0,0,0,0,0,0,0,0
2018-Es-02278,Estoy escabiando desde las 11 de la mañana tipo me desayune una birra y me voy a ir tomando una ,0,0,0,0,0,0,0,0,0,0,0
2018-Es-03937,@NanaBlurl Como asturiana postiza estoy: indignada.,1,0,1,0,0,0,0,0,0,0,0
2018-Es-06946,Que pena pero a mi nadie tiene porque reclamarme las polas qué me tome!,1,0,0,0,0,0,0,0,1,0,0
2018-Es-00490,me acabo de acordar de que este curso hago selectividad y tengo ,0,0,0,0,0,0,0,0,0,0,0
2018-Es-06030,@SolDeusebio Chistosa 🙄😑😑😑😑,0,0,0,0,1,0,0,0,0,0,0
2018-Es-06765,Alguien se anda ganando su mentadita de madre ,1,0,1,0,1,0,0,0,0,0,0
2018-Es-05137,"La canción de ""oye mujer"" es la cosa más desagradable y corriente que puede existir ugh! No la tolero ...",1,0,1,0,0,0,0,0,0,0,0
2018-Es-01495,Hoy me atendió un mozo q me gustó. Llegué a mi casa y no se cómo mierda hice pero ya averigüe nombre apellido y gusto musical entre otros.,1,1,0,0,1,0,0,0,0,0,0
2018-Es-02355,Mi cuerpo se vuelve carne y el deseo no es mutuo ni nomade. La misma pesadilla de deshumanizar lo que en algun momento fue mio y fue amor,0,0,0,0,0,1,0,0,1,0,0
2018-Es-02847,"Me puse a ver vídeo desde que Hobi debutó, el orgullo y felicidad que es ver todo lo que ha logrado, y que pronto sacara su mixtape no puedo",0,0,0,0,1,0,1,0,0,0,1
2018-Es-05804,"Buenas noches mis princesas, que tengan dulces sueños💕😴 MAÑANA NUEVO VIDEOOOOO estoy muy emocionada ya las extraño 😢❤️ las amo",0,0,0,0,1,1,0,0,0,0,0
2018-Es-02590,"Mi momento favorito de Cirque Du Soleil fue cuando se escuchó un hermoso ""@sebastianpinera conshetumare"" seguido de aplausos.",0,0,0,0,1,0,0,0,0,0,0
2018-Es-04249,No se aguantarme el enojo ni la cara de orto,1,0,0,0,0,0,0,0,0,0,0
2018-Es-02178,Esta vuelta a Capital tiene gustito a que el 5 vuelvo 😊,0,0,0,0,1,0,0,0,0,0,0
2018-Es-03581,¿Por qué Bad Bunny se vestirá tan mal? ,0,1,1,0,0,0,0,0,0,0,0
2018-Es-01950,Historias de un toledano enfurecido,1,0,0,0,0,0,0,0,0,0,0
2018-Es-05087,No voy a decir que borralo porque cada vez que lo digo es peor ,1,0,0,0,0,0,0,0,1,0,0
2018-Es-02970,Me duele la rodilla lpmm espero sea mas que dolor 😥,0,0,0,0,0,0,0,0,1,0,0
2018-Es-04298,@Alan_frete13 Igual me respondió hace casi mes pero la felicidad sigue ahi💕💕💕💕,0,0,0,0,1,1,0,0,0,0,0
2018-Es-01688,Un asco a la gente resentida..,1,0,1,0,0,0,0,0,0,0,0
2018-Es-05333,Neta ya cállense a la verga todos ,1,0,0,0,0,0,0,0,0,0,0
2018-Es-05680,Y si mejor considero todo otra vez... por que esto se está volviendo un ciclo ,0,0,0,0,0,0,0,1,0,0,1
2018-Es-01755,Adivinen quien tiene médico el lunes que viene y tiene miedo porque la van a pesar 😣,0,0,0,1,0,0,0,0,0,0,0
2018-Es-02065,Jajajajajajajajaajjajajaajaj era peligrosa la tecnica,0,0,0,0,1,0,0,0,0,0,0
2018-Es-01084,algunas personas tienen suerte de q tenga tanta paciencia xq ya las hubiese mando a la mierda,1,0,1,0,0,0,0,0,0,0,0
2018-Es-03323,Unas pelis de terror👌😝 @lolo_ok02 ,0,0,0,1,1,0,0,0,0,0,0
2018-Es-02951,❤️✌🏾Ya somos 400 Seguidoresss✌🏾❤️ #gracias #Feliz #FelizLunes #LunesDeGanarSeguidores #SIGUEMEYTESIGO #SiguemeYTeSigoDeVuelta #Rt,0,0,0,0,1,0,1,0,0,0,0
2018-Es-03222,Oks estoy r3 cansado ganas de dormir y fue,0,0,0,0,0,0,0,0,1,0,0
2018-Es-04407,"No sabía que estabas tan desesperada, chére.",0,0,0,0,0,0,0,0,1,1,0
2018-Es-05775,Un mes y ya estoy pensando en LA Nostalgia que se viene 💃🏽,0,0,0,0,0,0,0,0,1,0,0
2018-Es-01797,Estoy por mandarle un mail a mi ex-tutora para preguntarle si puedo seguir con el tfg #tristeza #morriña #sentimientosencontrados #confusion,0,0,0,0,0,0,0,1,1,0,0
2018-Es-01294,@mferp98 Ya duérmete ,0,0,0,0,0,0,0,0,0,0,0
2018-Es-03156,"Evadirse del Problema Interior Provocado por la Personalidad no Es más que Avocarse hasta el Dolor, el Estrés,el Agobio o el Malestar.",0,0,0,1,0,0,0,1,0,0,0
2018-Es-00612,@la_huitlacocha Es una sorpresa 💁🙈🙈 Adivina... 😁,0,1,0,0,1,0,0,0,0,1,0
2018-Es-03422,Mis ganas de que ya sea fin de semana son terroríficamente impresionantes,0,1,0,0,0,0,0,0,0,0,0
2018-Es-01772,En Maipú hace falta una peluquería ATR ,0,0,0,0,0,0,0,0,0,0,0
2018-Es-04363,"No tengo números,tengo sensaciones(Brancatelli).Si fuera meteorólogo diría q va a llover xq le duelen los callos.Q serio #JuevesIntratable",0,1,0,0,0,0,0,0,0,1,1
2018-Es-06947,Estoy rodeada de personas muy resentida. 😔,0,0,1,0,0,0,0,1,1,0,0
2018-Es-03588,"@infiredannie ... Ofensa directa es una ofensa en la que intento hacer daño, si discrepas de mi pensamiento lo dices y punto",1,0,0,0,0,0,0,0,0,0,0
2018-Es-02057,Ayer pri se re enojo por que la descansábamos por audio con mi herma 😂😂😂,1,0,0,0,1,0,0,0,0,0,0
2018-Es-04215,Ayer me baje dos juegos de terror y me da cosa jugarlos🙄,0,0,0,1,0,0,0,0,0,0,0
2018-Es-02929,"@karma_guizmo En lugar de un novio, te brindo un amigo sincero que disfrute la peli que elijas ",0,1,0,0,1,1,1,0,0,0,0
2018-Es-06858,@MQuevedoF lamentable todos los destrozos y muertes a la GMV..nos da mas razon p la CONSTITUYENTE. VENCEREMOS.....!!!,1,0,0,0,0,0,0,0,0,0,0
2018-Es-05472,Diablo ni yo me lo creo ,0,0,0,0,0,0,0,0,0,1,0
2018-Es-01358,Ya me arrepentí de haber mandado ese mensaje. 😟,1,0,0,0,0,0,0,1,1,0,0
2018-Es-02681,@Pausgarciaa @SofiaHdz1724 Pensé que estabas enojada wowow,1,0,0,0,0,0,0,0,0,0,0
2018-Es-04845,Pican jjjuerte los mosquitos ,1,0,1,0,0,0,0,1,0,0,0
2018-Es-04219,"@fotosguate Dichoso que tienes, yo debo, pero pagarlo😢 😂😂😂",0,0,0,0,1,0,0,0,1,0,0
2018-Es-03615,La manipulación del poder en forma déspota es una afrenta contra la democracia y esto favorece la corrupción. #corrupciónColombia,1,0,1,0,0,0,0,0,0,0,0
2018-Es-02146,Hoy anduve re Chinito esto de la resaca jaj ,0,0,0,0,1,0,0,0,0,0,0
2018-Es-04603,"Que lindo desactivar la alarma y dormir hasta cuando yo quiera, asi sí vale arrancar la semana 😄",0,0,0,0,1,0,0,0,0,0,0
2018-Es-03737,Sufro de insomnio provocado por la estupida guardia,1,0,1,0,0,0,0,1,0,0,0
2018-Es-02655,Kimberly me tiene más nerviosa,0,0,0,1,0,0,0,0,0,0,0
2018-Es-03014,@CarlossMartinn Pa que dices na ,0,0,0,0,0,0,0,1,0,0,0
2018-Es-06561,"Ya estoy en mi casa, ya le puedo llorar a @ChesterBe 😭",0,0,0,0,0,0,0,0,1,0,0
2018-Es-01000,"@Anxi_us Te llevaría, pero está a punto de llover y me da miedo el ambiente eléctrico y me dan paja los mosquitos",0,0,0,1,0,0,0,0,0,0,0
2018-Es-04804,Y ahora fui a verlo y no esta roto ,0,0,0,0,0,0,0,0,0,0,0
2018-Es-01940,Que noche más aburrida.,0,0,0,0,0,0,0,0,1,0,0
2018-Es-05862,"Depresión rima con Bennington, coincidencia? No lo creo.",0,0,0,0,0,0,0,0,1,0,0
2018-Es-03714,Por cada mifuto de enfado perdamos sesenta segundos de felicidad.,1,0,0,0,0,0,1,0,0,0,0
2018-Es-04740,"Les juro que si alguien me viera en mi fase de fangirl loca y obsesionada nivel Dios, se asustaría y probablemente no me vuelva a hablar 🙃",0,0,0,1,1,0,0,0,0,0,0
2018-Es-00921,@arkangel_dragon Creo q fue un poco de venganza,0,0,1,0,0,0,0,1,0,0,0
2018-Es-00364,"Tienes #insomnio o #depresión post #sismo? Ven a mi casa, te armo un porro. La propuesta es seria.",0,1,0,0,0,0,1,0,0,0,0
2018-Es-00437,"@Miotroyo2parte @amparelampa Solo hay que verle la cara de amargada, gentuza y aborto viviente. Para comprender todo. Asco dais asco !!!!!",1,0,1,0,0,0,0,0,0,0,0
2018-Es-06891,Búsqueda implacable de conos😂😂😂,0,0,0,0,1,0,0,0,0,0,0
2018-Es-01788,El corazón amargo come a su dueño.,0,0,0,0,0,0,0,1,1,0,0
2018-Es-04375,Si hay algo q me da miedo es equivocarme de grupo y mandarme el moco del año o de la vida ,0,0,0,1,0,0,0,1,0,0,0
